protein,solubility
P38636_1CC8_A,82
P40347_1D1Q_A,92
P50861_1EJB_A,88
P00445_1F1G_A,94
P49954_1F89_A,73
P32377_1FI4_A,64
P10081_1FUU_A,104
P08536_1G8F_A,19
P14743_1IIC_A,57
P40165_1JZT_A,52
P11986_1P1J_A,51
Q07923_1T0I_A,81
P11353_1TXN_A,27
P39683_1VLP_A,19
Q02821_1WA5_B,63
P20081_1YAT_A,104
P38777_1YCD_A,94
P26449_1YFQ_A,51
P00924_2AL1_A,75
P16892_2B9H_A,2
P40344_2DYT_A,76
P32626_2G80_A,41
P40554_2QJL_A,97
P40106_2QLT_A,85
P38998_2QRL_A,93
P06169_2VK8_A,26
Q12125_2WPV_A,61
P38913_2WSI_A,10
Q10740_2XQ0_A,15
Q12245_2Z5B_A,41
P57743_3BW1_A,89
P25373_3C1R_A,110
P40581_3CMI_A,90
Q07930_3ELV_A,82
P32643_3G5T_A,78
P38632_3HTK_C,89
P25454_3LDA_A,76
P30656_3NZJ_K,22
Q06287_3OII_A,66
P38230_3QWB_A,42
Q05905_3RBY_A,95
P32357_3SBT_B,52
P00572_3TMK_A,84
Q08686_3UTN_X,17
P25638_4CGQ_A,89
P36040_4G4S_O,54
Q05778_4G4S_P,66
P53090_4JE5_A,38
P15790_4JR7_A,1
Q12068_4PVC_A,71
P53738_4QTT_A,82
P07347_4XNH_B,86
Q06151_5BV3_A,37
P30657_5CZ4_C,18
P40303_5CZ4_M,38
P14904_5JGF_A,97
Q05789_5KC1_A,87
Q02754_5KCI_A,112
P40202_5U9M_B,100
