protIDs,surfaces,prot_lengths,surface_seq,frac_mod_beta_list,frac_mod_alfa_list,frac_exp_alfa_list,frac_k_minus_r,frac_neg,frac_pos,frac_charged,pos_minus_neg
P37757,13520.29603721408,290,46.621710473152,0.42857142857142855,0.0,0.0,0.0,0.0009765625,0.0,0.0009765625,-0.0009765625
P0ABK9,20506.568170552844,441,46.50015458175248,0.45454545454545453,0.3134920634920635,0.1865079365079365,0.0453514739229025,0.00030851342804695574,0.00035993233272144836,0.0006684457607684042,5.1418904674492615e-05
P33371,13494.940637243066,317,42.570790653763616,0.09090909090909091,0.2671232876712329,0.18493150684931506,-0.02208201892744479,0.00035824816646598133,0.0003781508423807581,0.0007363990088467394,1.990267591477676e-05
Q46822,8067.149487840103,153,52.726467240784984,0.2653061224489796,0.3023255813953488,0.3023255813953488,-0.0392156862745098,0.0006834977999914563,0.0006834977999914563,0.0013669955999829125,0.0
P07024,21874.042363679357,525,41.66484259748449,0.24528301886792453,0.2802547770700637,0.17197452229299362,0.04,0.00025396825396825396,0.00023945578231292518,0.0004934240362811791,-1.4512471655328779e-05
P76084,7687.174345478906,126,61.00932020221354,0.0,0.0,1.0,0.0,0.0,0.01,0.01,0.01
P45548,11230.081580858063,291,38.5913456386875,0.08695652173913043,0.27586206896551724,0.20689655172413793,-0.027491408934707903,0.0004251248804336274,0.0003896978070641584,0.0008148226874977858,-3.5427073369469013e-05
P77689,17026.18677395068,410,41.527284814513855,0.0,0.3,0.7,0.0,0.0,0.006944444444444444,0.006944444444444444,0.006944444444444444
P08200,19253.11125069205,416,46.2815174295482,0.1891891891891892,0.3045977011494253,0.1724137931034483,0.033653846153846145,0.0003351516272189349,0.00028892381656804735,0.0006240754437869823,-4.622781065088754e-05
P28305,12973.226536461858,269,48.22760794223739,0.1951219512195122,0.2625,0.3,-0.044609665427509285,0.000345489973880958,0.00037312917179143463,0.0007186191456723926,2.763919791047662e-05
P0A855,17537.58482123018,412,42.566953449587814,0.2611111111111111,0.2619047619047619,0.23809523809523808,-0.01466992665036675,0.00018531692182614882,0.00020325081748674386,0.00038856773931289273,1.793389566059504e-05
P27838,6204.910281990888,106,58.53688945274422,0.47058823529411764,0.30303030303030304,0.24242424242424243,-0.018867924528301886,0.00177999288002848,0.0007119971520113919,0.002491990032039872,-0.001067995728017088
P06715,20749.441422937292,448,46.3157174619136,0.26495726495726496,0.3067484662576687,0.2147239263803681,0.013392857142857144,0.00025908801020408165,0.0002640704719387755,0.0005231584821428572,4.982461734693829e-06
P06999,13724.099123017304,304,45.14506290466218,0.24615384615384617,0.2830188679245283,0.16981132075471697,0.0034722222222222238,0.00036168981481481485,0.0002893518518518519,0.0006510416666666666,-7.233796296296296e-05
P32056,8656.897594645721,160,54.10560996653576,0.19607843137254902,0.41304347826086957,0.2608695652173913,-0.0625,0.0008203125000000001,0.0006640624999999999,0.001484375,-0.00015625000000000014
P28629,32087.487471440912,755,42.499983405882006,0.1951219512195122,0.2727272727272727,0.22570532915360503,-0.005298013245033109,0.00016490504802420947,0.00014736195780886804,0.0003122670058330775,-1.7543090215341428e-05
P77555,15360.863892267418,337,45.581198493375126,0.2711864406779661,0.3103448275862069,0.21379310344827587,-0.014836795252225522,0.00029057225123052944,0.0003081826906990464,0.0005987549419295758,1.761043946851696e-05
P0A6Q3,8517.959196307926,166,51.31300720667425,0.3770491803278688,0.1935483870967742,0.16129032258064516,0.012048192771084335,0.00065321527072144,0.0006895050079837422,0.0013427202787051826,3.628973726230221e-05
P68767,21209.951705216867,503,42.16690199844307,0.10784313725490197,0.22772277227722773,0.1485148514851485,-0.015904572564612328,0.00021738357133540702,0.0002490029998932844,0.00046638657122869147,3.1619428557877374e-05
P63177,13085.340367336896,235,55.68229943547615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0AAZ4,24118.577897959414,414,58.25743453613385,0.4166666666666667,0.3023255813953488,0.4186046511627907,-0.08571428571428572,0.0007256235827664399,0.0014512471655328798,0.00217687074829932,0.0007256235827664399
Q46829,19283.01894908493,470,41.02769989167006,0.17073170731707318,0.22758620689655173,0.21379310344827587,0.015384615384615385,0.00038816568047337274,0.00041656804733727806,0.0008047337278106508,2.840236686390532e-05
P0A877,13280.5762377506,258,51.47510169670775,0.5,0.20833333333333334,0.6666666666666666,0.017857142857142856,0.002869897959183673,0.0009566326530612245,0.0038265306122448974,-0.0019132653061224487
